Breed Name,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs
Spanish Mastiff,5,3,3,3,1,5,Smooth,Short,3,2,5,3,3,3,1,3
Spanish Water Dog,5,4,3,1,4,2,Corded,Medium,3,4,3,3,4,4,3,5
Spinone Italiano,5,3,4,3,2,3,Wiry,Medium,3,3,3,3,4,3,2,3
Stabyhoun,5,5,4,3,1,2,Smooth,Short,3,3,3,3,5,4,3,4
Staffordshire Bull Terrier,5,5,3,3,2,2,Smooth,Short,4,4,3,5,5,5,3,4
Standard Schnauzer,5,5,3,1,3,3,Wiry,Medium,3,4,5,4,5,3,3,5
Sussex Spaniel,5,3,3,3,3,3,Double,Medium,3,4,3,2,3,3,4,3
Swedish Lapphund,5,3,3,3,2,2,Double,Long,4,4,4,4,5,4,4,4
Swedish Vallhund,5,5,3,4,2,2,Double,Short,3,4,3,4,4,4,3,4
Taiwan Dog,5,3,3,3,2,2,Smooth,Short,3,3,5,4,4,5,3,4
Teddy Roosevelt Terrier,5,5,5,3,1,1,Smooth,Short,1,3,3,5,3,3,3,3
Thai Bangkaew,5,3,3,3,3,1,None,None,1,3,5,1,3,3,1,3
Thai Ridgeback,5,3,3,3,3,1,None,None,1,3,5,1,3,3,1,4
Tibetan Mastiff,4,3,3,4,3,3,Double,Medium,1,3,5,3,3,3,3,4
Tibetan Spaniel,5,5,3,3,2,2,Double,Medium,4,4,4,4,3,3,3,3
Tibetan Terrier,5,3,3,3,3,2,Double,Long,3,3,4,4,3,4,3,4
Tornjak,5,3,1,4,2,3,Double,Medium,3,3,5,3,3,3,3,3
Tosa,5,3,1,2,1,3,Smooth,Short,1,3,5,3,3,3,3,4
Toy Fox Terrier,5,3,3,3,2,1,Smooth,Short,5,4,5,4,5,4,4,4
Transylvanian Hound,5,5,5,3,2,3,Smooth,Short,4,5,5,4,4,5,4,5
Treeing Tennessee Brindle,5,3,5,2,2,3,Smooth,Short,3,3,3,3,3,3,5,4
Treeing Walker Coonhound,5,5,5,3,1,3,Smooth,Short,3,4,3,4,5,5,4,5
Vizsla,5,5,4,3,2,2,Smooth,Short,4,5,3,5,5,5,3,5
Volpino Italiano,5,3,3,2,1,1,None,Long,1,3,3,1,3,3,1,5
Weimaraner,5,5,3,3,2,2,Smooth,Short,3,5,5,4,5,5,3,5
Welsh Springer Spaniel,5,5,4,3,2,2,Double,Medium,1,3,3,4,5,4,3,4
Welsh Terrier,5,5,3,2,3,2,Wiry,Medium,5,4,4,4,4,4,4,4
West Highland White Terrier,5,5,3,3,3,1,Double,Medium,4,5,5,4,3,4,5,4
Wetterhoun,0,0,0,0,0,0,Curly,Medium,0,0,0,0,0,0,0,0
Whippet,5,5,5,2,1,1,Smooth,Short,3,4,3,3,3,4,1,4
Wire Fox Terrier,5,5,3,2,3,2,Wiry,Medium,5,4,4,4,4,4,4,4
Wirehaired Pointing Griffon,5,5,3,3,2,3,Wiry,Medium,5,4,3,4,5,5,3,5
Wirehaired Vizsla,5,5,3,3,1,2,Wiry,Short,5,5,3,4,5,5,3,5
Working Kelpie,5,5,3,3,1,2,Smooth,Short,5,5,4,4,5,5,3,5
Xoloitzcuintli,5,3,3,1,1,1,Hairless,Short,3,4,3,4,4,4,3,4
Yakutian Laika,5,5,4,4,2,3,Double,Medium,1,4,5,4,3,5,4,5
Yorkshire Terrier,5,5,3,1,5,1,Silky,Long,5,4,5,5,4,4,4,4
